Model prediction: [ (-3.1415, 0.423567)
(-3.0415, 0.415657)
(-2.9415, 0.404632)
(-2.8415, 0.388271)
(-2.7415, 0.361837)
(-2.6415, 0.314928)
(-2.5415, 0.231289)
(-2.4415, 0.130569)
(-2.3415, 0.0796078)
(-2.2415, 0.0641694)
(-2.1415, 0.0590073)
(-2.0415, 0.0568949)
(-1.9415, 0.0559334)
(-1.8415, 0.055543)
(-1.7415, 0.0555352)
(-1.6415, 0.0558692)
(-1.5415, 0.0565811)
(-1.4415, 0.0577704)
(-1.3415, 0.0596128)
(-1.2415, 0.0623967)
(-1.1415, 0.0665951)
(-1.0415, 0.0729915)
(-0.941501, 0.0828903)
(-0.841501, 0.0984081)
(-0.741501, 0.12266)
(-0.641501, 0.159177)
(-0.541501, 0.209564)
(-0.441501, 0.270051)
(-0.341501, 0.331281)
(-0.241501, 0.384305)
(-0.141501, 0.427902)
(-0.0415007, 0.469752)
(0.0584993, 0.519694)
(0.158499, 0.58076)
(0.258499, 0.646297)
(0.358499, 0.705786)
(0.458499, 0.752767)
(0.558499, 0.786744)
(0.658499, 0.8103)
(0.758499, 0.826425)
(0.858499, 0.837492)
(0.958499, 0.845153)
(1.0585, 0.850506)
(1.1585, 0.854279)
(1.2585, 0.856954)
(1.3585, 0.858857)
(1.4585, 0.860214)
(1.5585, 0.861181)
(1.6585, 0.861866)
(1.7585, 0.86235)
(1.8585, 0.862687)
(1.9585, 0.862919)
(2.0585, 0.863075)
(2.1585, 0.863177)
(2.2585, 0.86324)
(2.3585, 0.863276)
(2.4585, 0.863292)
(2.5585, 0.863295)
(2.6585, 0.863289)
(2.7585, 0.863277)
(2.8585, 0.863262)
(2.9585, 0.863244)
(3.0585, 0.863226)
 ]
Actuall function: [ (-3.1415, 0.499954)
(-3.0415, 0.450037)
(-2.9415, 0.40062)
(-2.8415, 0.352196)
(-2.7415, 0.305248)
(-2.6415, 0.260247)
(-2.5415, 0.217641)
(-2.4415, 0.177856)
(-2.3415, 0.14129)
(-2.2415, 0.108308)
(-2.1415, 0.0792397)
(-2.0415, 0.0543756)
(-1.9415, 0.0339639)
(-1.8415, 0.0182087)
(-1.7415, 0.00726736)
(-1.6415, 0.00124925)
(-1.5415, 0.000214547)
(-1.4415, 0.00417352)
(-1.3415, 0.0130866)
(-1.2415, 0.0268648)
(-1.1415, 0.0453704)
(-1.0415, 0.0684185)
(-0.941501, 0.0957788)
(-0.841501, 0.127178)
(-0.741501, 0.162302)
(-0.641501, 0.200801)
(-0.541501, 0.242289)
(-0.441501, 0.286352)
(-0.341501, 0.332549)
(-0.241501, 0.38042)
(-0.141501, 0.429485)
(-0.0415007, 0.479256)
(0.0584993, 0.529233)
(0.158499, 0.578918)
(0.258499, 0.627815)
(0.358499, 0.675435)
(0.458499, 0.721301)
(0.558499, 0.764957)
(0.658499, 0.805965)
(0.758499, 0.843916)
(0.858499, 0.878431)
(0.958499, 0.909165)
(1.0585, 0.93581)
(1.1585, 0.958101)
(1.2585, 0.975815)
(1.3585, 0.988775)
(1.4585, 0.996851)
(1.5585, 0.999962)
(1.6585, 0.998078)
(1.7585, 0.991218)
(1.8585, 0.979449)
(1.9585, 0.96289)
(2.0585, 0.941706)
(2.1585, 0.916108)
(2.2585, 0.886353)
(2.3585, 0.852738)
(2.4585, 0.815598)
(2.5585, 0.775304)
(2.6585, 0.732261)
(2.7585, 0.686896)
(2.8585, 0.639664)
(2.9585, 0.591036)
(3.0585, 0.541499)
 ]
